secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon,hh,lc,hc,ll,accstd,upbound,lowbound,signal,mkt_val1,mkt_val2,max_drawdown,pos,trans,risk_ratio
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-04-22,P,L4,7336,7432,7380,7584,7356,7496,7520,737926,55327866140,386384,184,160,0.02508179,1,0,7900.0,6716.0,7770.0,6630.0,380.88493450559747,7668.8,7195.2,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-04-23,P,L4,7496,7520,7540,7666,7508,7602,7652,705199,53615382260,406682,156,106,0.0208111,1,0,7900.0,6716.0,7770.0,6630.0,366.42362468497123,7756.8,7283.2,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-04-26,P,L4,7602,7652,7550,7742,7352,7526,7374,948047,71366690680,380817,-228,-76,-0.02999211,1,0,7802.0,6716.0,7656.0,6630.0,335.9711387315971,7869.2,7434.8,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-04-27,P,L4,7526,7374,7362,7540,7260,7406,7508,899258,66601137400,367967,-18,-120,-0.00239171,1,0,7742.0,6716.0,7652.0,6630.0,310.76191802885006,7579.2,7168.8,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-04-28,P,L4,7406,7508,7560,7612,7320,7454,7406,949471,70786029020,357397,0,48,0.0,1,0,7742.0,6716.0,7652.0,6630.0,315.8589539460275,7713.2,7302.8,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-04-29,P,L4,7454,7406,7450,7596,7442,7528,7532,655431,49346199980,365619,78,74,0.01046418,1,0,7742.0,6774.0,7652.0,6630.0,305.73845031333525,7610.4,7201.6,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-04-30,P,L4,7528,7532,7580,7590,7344,7468,7410,710152,53042950540,345785,-118,-60,-0.01567481,1,0,7742.0,6822.0,7652.0,6754.0,274.6109093156188,7716.0,7348.0,-1,100000.0,100000.0,0.0,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-06,P,L4,7468,7410,7620,7934,7620,7820,7890,517961,40510466520,391326,422,352,0.05650777,1,0,7742.0,6916.0,7652.0,6772.0,236.37079243246376,7586.0,7234.0,4,108032.5,105932.5,0.0,3,3,0.23887256149769745
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-07,P,L4,7820,7890,7890,8080,7834,7980,8026,655909,52354010640,404267,206,160,0.02634271,1,0,7934.0,7080.0,7890.0,6898.0,228.27150235602747,8088.4,7691.6,-1,107965.0,107965.0,0.0006248119778770278,0,-3,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-10,P,L4,7980,8026,8102,8120,7900,8012,7954,853357,68382683460,396794,-26,32,-0.00325815,1,0,8080.0,7080.0,8026.0,7044.0,249.94175078981425,8226.0,7826.0,-1,107965.0,107965.0,0.0006248119778770278,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-11,P,L4,8012,7954,7966,8054,7836,7966,7998,685019,54569201900,402032,-14,-46,-0.00174738,1,0,8120.0,7226.0,8026.0,7054.0,260.28719569433844,8148.4,7759.6,-1,107965.0,107965.0,0.0006248119778770278,0,0,0.0
P2109.XDCE,p2109,XDCE,连棕油2109,RBD Palm Olein 2109,2021-05-12,P,L4,7966,7998,8022,8344,7956,8172,8338,812215,66379783920,413415,372,206,0.04669847,1,0,8120.0,7374.0,8026.0,7254.0,243.29474579885965,8152.4,7843.6,-1,107965.0,107965.0,0.0006248119778770278,0,0,0.0
