secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon,hh,lc,hc,ll,accstd,upbound,lowbound,signal,mkt_val1,mkt_val2,max_drawdown,pos,trans,risk_ratio
RB2110.XSGE,rb2110,XSGE,沪螺钢2110,Steel Rebar 2110,2021-05-18,RB,L4,5620,5596,5599,5680,5575,5621,5610,1901897,106907744820,1174025,-10,1,-0.00177936,1,0,6208.0,4985.0,6171.0,4937.0,332.76949749269164,5842.8,5349.2,-1,100000,100000,0.0,0,0,0.0
RB2110.XSGE,rb2110,XSGE,沪螺钢2110,Steel Rebar 2110,2021-05-19,RB,L4,5621,5610,5599,5600,5287,5444,5309,3005705,163645918220,1209679,-312,-177,-0.05550614,1,0,6208.0,4985.0,6171.0,4937.0,331.16004961579904,5856.8,5363.2,-1,100000,100000,0.0,0,0,0.0
RB2110.XSGE,rb2110,XSGE,沪螺钢2110,Steel Rebar 2110,2021-05-20,RB,L4,5444,5309,5200,5274,5010,5150,5186,3714645,191311920590,1162027,-258,-294,-0.04739162,1,0,6208.0,4985.0,6171.0,4937.0,325.3873053171228,5555.8,5062.2,-1,100000,100000,0.0,0,0,0.0
RB2110.XSGE,rb2110,XSGE,沪螺钢2110,Steel Rebar 2110,2021-05-21,RB,L4,5150,5186,5187,5238,5101,5158,5112,2283610,117801756730,1133681,-38,8,-0.00737864,1,0,6208.0,4985.0,6171.0,4937.0,322.96537561502447,5432.8,4939.2,-1,100000,100000,0.0,0,0,0.0
RB2110.XSGE,rb2110,XSGE,沪螺钢2110,Steel Rebar 2110,2021-05-24,RB,L4,5158,5112,5100,5125,4807,4953,4974,4036879,199980007020,1172165,-184,-205,-0.03567274,1,0,6208.0,5082.0,6171.0,4985.0,315.9332743573456,5349.2,4874.8,-1,100000,100000,0.0,0,0,0.0
RB2110.XSGE,rb2110,XSGE,沪螺钢2110,Steel Rebar 2110,2021-05-25,RB,L4,4953,4974,4976,5025,4901,4966,4919,2456109,121990066420,1169779,-34,13,-0.00686453,1,0,6208.0,4974.0,6171.0,4807.0,321.7108424561506,5246.8,4701.2,-1,100000,100000,0.0,0,0,0.0
RB2110.XSGE,rb2110,XSGE,沪螺钢2110,Steel Rebar 2110,2021-05-26,RB,L4,4966,4919,4888,4903,4661,4806,4667,3630128,174496227880,1292360,-299,-160,-0.06020942,1,0,6208.0,4919.0,6171.0,4807.0,329.3385165168789,5191.8,4646.2,-1,100000,100000,0.0,0,0,0.0
RB2110.XSGE,rb2110,XSGE,沪螺钢2110,Steel Rebar 2110,2021-05-27,RB,L4,4806,4667,4647,4848,4626,4740,4817,3189226,151184746810,1177353,11,-66,0.00228881,1,0,6208.0,4667.0,6171.0,4661.0,346.26544064433494,4975.2,4358.8,-1,100000,100000,0.0,0,0,0.0
RB2110.XSGE,rb2110,XSGE,沪螺钢2110,Steel Rebar 2110,2021-05-28,RB,L4,4740,4817,4845,5004,4821,4907,4933,3430514,168353141050,1149584,193,167,0.0407173,1,0,6208.0,4667.0,6171.0,4626.0,366.72395822806783,5126.0,4508.0,-1,100000,100000,0.0,0,0,0.0
RB2110.XSGE,rb2110,XSGE,沪螺钢2110,Steel Rebar 2110,2021-05-31,RB,L4,4907,4933,4910,5149,4887,5030,5027,3595560,180885383370,1096371,120,123,0.02445486,1,0,6208.0,4667.0,6171.0,4626.0,374.93591657570187,5242.0,4624.0,-1,100000,100000,0.0,0,0,0.0
RB2110.XSGE,rb2110,XSGE,沪螺钢2110,Steel Rebar 2110,2021-06-01,RB,L4,5030,5027,4972,5133,4850,4977,5128,3394168,168934193080,1076347,98,-53,0.0194831,1,0,6208.0,4667.0,6171.0,4626.0,377.73114573931895,5336.0,4718.0,-1,100000,100000,0.0,0,0,0.0
RB2110.XSGE,rb2110,XSGE,沪螺钢2110,Steel Rebar 2110,2021-06-02,RB,L4,4977,5128,5115,5147,4976,5061,5002,2536533,128389482330,1065129,25,84,0.00502311,1,0,6208.0,4667.0,6171.0,4626.0,383.6737416086748,5437.0,4819.0,-1,100000,100000,0.0,0,0,0.0
RB2110.XSGE,rb2110,XSGE,沪螺钢2110,Steel Rebar 2110,2021-06-03,RB,L4,5061,5002,4981,5188,4970,5090,5148,2797515,142411921130,1102969,87,29,0.01719028,1,0,6208.0,4667.0,6171.0,4626.0,387.38825684119763,5311.0,4693.0,-1,100000,100000,0.0,0,0,0.0
RB2110.XSGE,rb2110,XSGE,沪螺钢2110,Steel Rebar 2110,2021-06-04,RB,L4,5090,5148,5160,5275,5094,5175,5159,3095791,160232913100,1166188,69,85,0.01355599,1,0,6208.0,4667.0,6171.0,4626.0,390.6157269668572,5457.0,4839.0,-1,100000,100000,0.0,0,0,0.0
RB2110.XSGE,rb2110,XSGE,沪螺钢2110,Steel Rebar 2110,2021-06-07,RB,L4,5175,5159,5175,5217,4955,5093,4959,2495752,127125668990,1191217,-216,-82,-0.04173913,1,0,6208.0,4667.0,6171.0,4626.0,392.3528964906664,5468.0,4850.0,-1,100000,100000,0.0,0,0,0.0
