idx,instrument_id,direction,price,open_price,fee,timestamp,return
12,m2109,00,3511.0,3511.0,1.51,09:00:06,0.0
13,m2109,10,3513.0,3513.0,1.51,09:00:06,0.0
1108,m2109,01,3517.0,3511.0,0.0,09:09:27,58.49
1339,m2109,00,3513.0,3513.0,1.51,09:11:23,0.0
1984,m2109,01,3519.0,3513.0,0.0,09:16:55,58.49
3306,m2109,00,3521.0,3521.0,1.51,09:28:09,0.0
11700,m2109,01,3527.0,3521.0,0.0,11:04:18,58.49
13543,m2109,00,3518.0,3518.0,1.51,11:21:23,0.0
14461,m2109,01,3524.0,3518.0,0.0,13:30:07,58.49
16246,m2109,00,3526.0,3526.0,1.51,13:45:43,0.0
23388,m2109,11,3507.0,3513.0,0.0,14:50:07,58.49
23572,m2109,10,3511.0,3511.0,1.51,14:51:39,0.0
24821,m2109,01,3505.0,3526.0,0.0,21:02:06,-211.51
24822,m2109,11,3505.0,3511.0,0.0,21:02:06,58.49
24919,m2109,00,3502.0,3502.0,1.51,21:02:55,0.0
25572,m2109,10,3507.0,3507.0,1.51,21:08:22,0.0
25711,m2109,01,3508.0,3502.0,0.0,21:09:33,58.49
25742,m2109,00,3509.0,3509.0,1.51,21:09:48,0.0
25833,m2109,01,3515.0,3509.0,0.0,21:10:34,58.49
28151,m2109,00,3513.0,3513.0,1.51,21:30:40,0.0
29204,m2109,01,3519.0,3513.0,0.0,21:40:00,58.49
30174,m2109,00,3523.0,3523.0,1.51,21:48:09,0.0
30433,m2109,11,3528.0,3507.0,0.0,21:50:20,-211.51
30530,m2109,10,3530.0,3530.0,1.51,21:51:09,0.0
30531,m2109,01,3529.0,3523.0,0.0,21:51:09,58.49
33713,m2109,00,3539.0,3539.0,1.51,22:18:03,0.0
38561,m2109,11,3529.0,3530.0,0.0,23:00:00,8.49
38561,m2109,01,3529.0,3539.0,0.0,23:00:00,-101.51
