idx,instrument_id,direction,price,open_price,fee,timestamp,return
8,m2109,10,3517.0,3517.0,1.51,09:00:03,0.0
22,m2109,00,3514.0,3514.0,1.51,09:00:10,0.0
34,m2109,11,3511.0,3517.0,0.0,09:00:16,58.49
38,m2109,10,3514.0,3514.0,1.51,09:00:18,0.0
49,m2109,01,3520.0,3514.0,0.0,09:00:23,58.49
53,m2109,00,3517.0,3517.0,1.51,09:00:25,0.0
223,m2109,11,3508.0,3514.0,0.0,09:01:50,58.49
233,m2109,10,3505.0,3505.0,1.51,09:01:55,0.0
316,m2109,11,3499.0,3505.0,0.0,09:02:37,58.49
317,m2109,10,3501.0,3501.0,1.51,09:02:37,0.0
639,m2109,01,3496.0,3517.0,0.0,09:05:18,-211.51
640,m2109,11,3495.0,3501.0,0.0,09:05:19,58.49
642,m2109,00,3494.0,3494.0,1.51,09:05:20,0.0
643,m2109,10,3496.0,3496.0,1.51,09:05:20,0.0
750,m2109,11,3490.0,3496.0,0.0,09:06:14,58.49
790,m2109,10,3491.0,3491.0,1.51,09:06:34,0.0
801,m2109,11,3485.0,3491.0,0.0,09:06:39,58.49
807,m2109,10,3487.0,3487.0,1.51,09:06:42,0.0
2434,m2109,01,3500.0,3494.0,0.0,09:20:18,58.49
6161,m2109,00,3491.0,3491.0,1.51,09:53:37,0.0
8668,m2109,01,3497.0,3491.0,0.0,10:31:55,58.49
8942,m2109,11,3508.0,3487.0,0.0,10:34:12,-211.51
9478,m2109,00,3505.0,3505.0,1.51,10:38:43,0.0
9868,m2109,10,3504.0,3504.0,1.51,10:42:04,0.0
11147,m2109,01,3511.0,3505.0,0.0,10:53:40,58.49
13683,m2109,00,3507.0,3507.0,1.51,11:15:52,0.0
14686,m2109,01,3513.0,3507.0,0.0,11:25:21,58.49
15219,m2109,00,3510.0,3510.0,1.51,13:30:22,0.0
15766,m2109,01,3516.0,3510.0,0.0,13:35:07,58.49
16893,m2109,00,3506.0,3506.0,1.51,13:44:55,0.0
17457,m2109,01,3512.0,3506.0,0.0,13:50:15,58.49
18390,m2109,11,3498.0,3504.0,0.0,13:58:17,58.49
18496,m2109,00,3499.0,3499.0,1.51,13:59:11,0.0
19690,m2109,10,3492.0,3492.0,1.51,14:09:15,0.0
25335,m2109,01,3490.0,3499.0,0.0,15:07:52,-91.51
25335,m2109,11,3490.0,3492.0,0.0,15:07:52,18.49
