idx,instrument_id,direction,price,open_price,fee,timestamp,return
68,m2109,10,3533.0,3533.0,1.51,09:00:34,0.0
69,m2109,00,3531.0,3531.0,1.51,09:00:34,0.0
418,m2109,01,3537.0,3531.0,0.0,09:03:30,58.49
915,m2109,00,3536.0,3536.0,1.51,09:07:50,0.0
4564,m2109,11,3527.0,3533.0,0.0,09:39:19,58.49
6022,m2109,10,3525.0,3525.0,1.51,09:52:08,0.0
7697,m2109,11,3519.0,3525.0,0.0,10:07:29,58.49
7710,m2109,10,3521.0,3521.0,1.51,10:07:36,0.0
8820,m2109,01,3515.0,3536.0,0.0,10:32:39,-211.51
8824,m2109,11,3515.0,3521.0,0.0,10:32:41,58.49
8936,m2109,00,3511.0,3511.0,1.51,10:33:37,0.0
9025,m2109,10,3508.0,3508.0,1.51,10:34:22,0.0
9326,m2109,01,3517.0,3511.0,0.0,10:36:53,58.49
12061,m2109,00,3510.0,3510.0,1.51,11:01:59,0.0
14417,m2109,01,3516.0,3510.0,0.0,11:24:25,58.49
15401,m2109,11,3502.0,3508.0,0.0,13:33:02,58.49
15412,m2109,00,3501.0,3501.0,1.51,13:33:08,0.0
18213,m2109,01,3507.0,3501.0,0.0,13:57:12,58.49
18318,m2109,00,3507.0,3507.0,1.51,13:58:05,0.0
18464,m2109,10,3509.0,3509.0,1.51,13:59:20,0.0
19629,m2109,01,3513.0,3507.0,0.0,14:09:44,58.49
19895,m2109,00,3512.0,3512.0,1.51,14:12:04,0.0
21083,m2109,01,3519.0,3512.0,0.0,14:22:53,68.49
22005,m2109,00,3522.0,3522.0,1.51,14:30:40,0.0
22641,m2109,01,3528.0,3522.0,0.0,14:36:12,58.49
23111,m2109,11,3530.0,3509.0,0.0,14:40:10,-211.51
23155,m2109,00,3528.0,3528.0,1.51,14:40:32,0.0
23156,m2109,10,3530.0,3530.0,1.51,14:40:32,0.0
25132,m2109,11,3524.0,3530.0,0.0,14:57:21,58.49
25431,m2109,10,3525.0,3525.0,1.51,14:59:51,0.0
25456,m2109,01,3534.0,3528.0,0.0,21:00:01,58.49
25591,m2109,00,3539.0,3539.0,1.51,21:01:09,0.0
27926,m2109,01,3545.0,3539.0,0.0,21:20:51,58.49
28221,m2109,00,3542.0,3542.0,1.51,21:23:19,0.0
28584,m2109,11,3546.0,3525.0,0.0,21:26:21,-211.51
29047,m2109,10,3541.0,3541.0,1.51,21:30:15,0.0
30359,m2109,11,3535.0,3541.0,0.0,21:41:27,58.49
32640,m2109,10,3535.0,3535.0,1.51,22:01:37,0.0
39004,m2109,01,3539.0,3542.0,0.0,23:00:00,-31.51
39004,m2109,11,3539.0,3535.0,0.0,23:00:00,-41.51
