idx,instrument_id,direction,price,open_price,fee,timestamp,return
21,m2109,10,3495.0,3495.0,1.51,09:00:10,0.0
22,m2109,00,3493.0,3493.0,1.51,09:00:11,0.0
55,m2109,11,3489.0,3495.0,0.0,09:00:27,58.49
70,m2109,10,3492.0,3492.0,1.51,09:00:35,0.0
489,m2109,11,3486.0,3492.0,0.0,09:04:04,58.49
540,m2109,10,3484.0,3484.0,1.51,09:04:30,0.0
628,m2109,11,3477.0,3484.0,0.0,09:05:14,68.49
629,m2109,10,3479.0,3479.0,1.51,09:05:14,0.0
1012,m2109,11,3473.0,3479.0,0.0,09:08:26,58.49
1013,m2109,10,3475.0,3475.0,1.51,09:08:26,0.0
3732,m2109,11,3496.0,3475.0,0.0,09:31:23,-211.51
3859,m2109,10,3493.0,3493.0,1.51,09:32:27,0.0
4391,m2109,11,3487.0,3493.0,0.0,09:37:02,58.49
4795,m2109,10,3493.0,3493.0,1.51,09:40:35,0.0
6933,m2109,01,3499.0,3493.0,0.0,09:59:15,58.49
7814,m2109,11,3514.0,3493.0,0.0,10:06:38,-211.51
8103,m2109,10,3515.0,3515.0,1.51,10:09:03,0.0
8104,m2109,00,3513.0,3513.0,1.51,10:09:03,0.0
8854,m2109,11,3509.0,3515.0,0.0,10:30:30,58.49
8919,m2109,10,3511.0,3511.0,1.51,10:31:03,0.0
9981,m2109,11,3505.0,3511.0,0.0,10:40:12,58.49
10079,m2109,10,3507.0,3507.0,1.51,10:41:01,0.0
15277,m2109,11,3501.0,3507.0,0.0,13:30:41,58.49
15444,m2109,10,3499.0,3499.0,1.51,13:32:05,0.0
15754,m2109,11,3493.0,3499.0,0.0,13:34:41,58.49
15757,m2109,01,3492.0,3513.0,0.0,13:34:42,-211.51
15758,m2109,10,3494.0,3494.0,1.51,13:34:43,0.0
16356,m2109,00,3490.0,3490.0,1.51,13:39:54,0.0
16543,m2109,01,3496.0,3490.0,0.0,13:41:29,58.49
16768,m2109,00,3493.0,3493.0,1.51,13:43:26,0.0
17913,m2109,01,3499.0,3493.0,0.0,13:53:56,58.49
18303,m2109,00,3495.0,3495.0,1.51,13:57:31,0.0
18476,m2109,01,3501.0,3495.0,0.0,13:59:09,58.49
18512,m2109,00,3497.0,3497.0,1.51,13:59:28,0.0
24677,m2109,01,3503.0,3497.0,0.0,14:56:31,58.49
25075,m2109,00,3505.0,3505.0,1.51,14:59:51,0.0
25096,m2109,11,3507.0,3494.0,0.0,23:00:00,-131.51
25096,m2109,01,3507.0,3505.0,0.0,23:00:00,18.49
