,log_return,log_return_0,wap_log_return,label_1
log_return,1.0,0.40772032791484353,-0.6065216902300024,0.3236860540770087
log_return_0,0.40772032791484353,1.0,-0.45879668178550886,0.07407664102120662
wap_log_return,-0.6065216902300024,-0.45879668178550886,1.0,0.03232056831367304
label_1,0.3236860540770087,0.07407664102120662,0.03232056831367304,1.0
